,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
204,205,Forretress,2,Normal,Bagworm Pokémon,2,Bug,Steel,1.2,125.8,2,Sturdy,,Overcoat,465,75,90,140,60,60,40,75.0,70.0,163.0,Medium Fast,1,Bug,,50.0,20.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
205,206,Dunsparce,2,Normal,Land Snake Pokémon,1,Normal,,1.5,14.0,3,Serene Grace,Run Away,Rattled,415,100,70,70,65,65,45,190.0,70.0,145.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
206,207,Gligar,2,Normal,FlyScorpion Pokémon,2,Ground,Flying,1.1,64.8,3,Hyper Cutter,Sand Veil,Immunity,430,65,75,105,35,65,85,60.0,70.0,86.0,Medium Slow,1,Bug,,50.0,20.0,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
207,208,Steelix,2,Normal,Iron Snake Pokémon,2,Steel,Ground,9.2,400.0,3,Rock Head,Sturdy,Sheer Force,510,75,85,200,55,65,30,25.0,70.0,179.0,Medium Fast,1,Mineral,,50.0,25.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
208,209,Snubbull,2,Normal,Fairy Pokémon,1,Fairy,,0.6,7.8,3,Intimidate,Run Away,Rattled,300,60,80,50,40,40,30,190.0,70.0,60.0,Fast,2,Fairy,Field,25.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
209,210,Granbull,2,Normal,Fairy Pokémon,1,Fairy,,1.4,48.7,3,Intimidate,Quick Feet,Rattled,450,90,120,75,60,60,45,75.0,70.0,158.0,Fast,2,Fairy,Field,25.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
210,211,Qwilfish,2,Normal,Balloon Pokémon,2,Water,Poison,0.5,3.9,3,Poison Point,Swift Swim,Intimidate,440,65,95,85,55,55,85,45.0,70.0,88.0,Medium Fast,1,Water 2,,50.0,20.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
211,212,Scizor,2,Normal,Pincer Pokémon,2,Bug,Steel,1.8,118.0,3,Swarm,Technician,Light Metal,500,70,130,100,55,80,65,25.0,70.0,175.0,Medium Fast,1,Bug,,50.0,25.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
212,213,Shuckle,2,Normal,Mold Pokémon,2,Bug,Rock,0.6,20.5,3,Sturdy,Gluttony,Contrary,505,20,10,230,10,230,5,190.0,70.0,177.0,Medium Slow,1,Bug,,50.0,20.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
213,214,Heracross,2,Normal,Single Horn Pokémon,2,Bug,Fighting,1.5,54.0,3,Swarm,Guts,Moxie,500,80,125,75,40,95,85,45.0,70.0,175.0,Slow,1,Bug,,50.0,25.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0
214,215,Sneasel,2,Normal,Sharp Claw Pokémon,2,Dark,Ice,0.9,28.0,3,Inner Focus,Keen Eye,Pickpocket,430,55,95,55,35,75,115,60.0,35.0,86.0,Medium Slow,1,Field,,50.0,20.0,1.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0
215,216,Teddiursa,2,Normal,Little Bear Pokémon,1,Normal,,0.6,8.8,3,Pickup,Quick Feet,Honey Gather,330,60,80,50,50,50,40,120.0,70.0,66.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
216,217,Ursaring,2,Normal,Hibernator Pokémon,1,Normal,,1.8,125.8,3,Guts,Quick Feet,Unnerve,500,90,130,75,75,75,55,60.0,70.0,175.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
217,218,Slugma,2,Normal,Lava Pokémon,1,Fire,,0.7,35.0,3,Magma Armor,Flame Body,Weak Armor,250,40,40,40,70,40,20,190.0,70.0,50.0,Medium Fast,1,Amorphous,,50.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
218,219,Magcargo,2,Normal,Lava Pokémon,2,Fire,Rock,0.8,55.0,3,Magma Armor,Flame Body,Weak Armor,430,60,50,120,90,80,30,75.0,70.0,151.0,Medium Fast,1,Amorphous,,50.0,20.0,0.5,0.25,4.0,1.0,1.0,0.5,2.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
219,220,Swinub,2,Normal,Pig Pokémon,2,Ice,Ground,0.4,6.5,3,Oblivious,Snow Cloak,Thick Fat,250,50,50,40,30,30,50,225.0,70.0,50.0,Slow,1,Field,,50.0,20.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
220,221,Piloswine,2,Normal,Swine Pokémon,2,Ice,Ground,1.1,55.8,3,Oblivious,Snow Cloak,Thick Fat,450,100,100,80,60,60,50,75.0,70.0,158.0,Slow,1,Field,,50.0,20.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
221,222,Corsola,2,Normal,Coral Pokémon,2,Water,Rock,0.6,5.0,3,Hustle,Natural Cure,Regenerator,410,65,55,95,65,95,35,60.0,70.0,144.0,Fast,2,Water 1,Water 3,25.0,20.0,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
222,223,Remoraid,2,Normal,Jet Pokémon,1,Water,,0.6,12.0,3,Hustle,Sniper,Moody,300,35,65,35,65,35,65,190.0,70.0,60.0,Medium Fast,2,Water 1,Water 2,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
223,224,Octillery,2,Normal,Jet Pokémon,1,Water,,0.9,28.5,3,Suction Cups,Sniper,Moody,480,75,105,75,105,75,45,75.0,70.0,168.0,Medium Fast,2,Water 1,Water 2,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
224,225,Delibird,2,Normal,Delivery Pokémon,2,Ice,Flying,0.9,16.0,3,Vital Spirit,Hustle,Insomnia,330,45,55,45,65,45,75,45.0,70.0,116.0,Fast,2,Field,Water 1,50.0,20.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0
225,226,Mantine,2,Normal,Kite Pokémon,2,Water,Flying,2.1,220.0,3,Swift Swim,Water Absorb,Water Veil,485,85,40,70,80,140,70,25.0,70.0,170.0,Slow,1,Water 1,,50.0,25.0,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
226,227,Skarmory,2,Normal,Armor Bird Pokémon,2,Steel,Flying,1.7,50.5,3,Keen Eye,Sturdy,Weak Armor,465,65,80,140,40,70,70,25.0,70.0,163.0,Slow,1,Flying,,50.0,25.0,0.5,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.5,0.5
227,228,Houndour,2,Normal,Dark Pokémon,2,Dark,Fire,0.6,10.8,3,Early Bird,Flash Fire,Unnerve,330,45,60,30,80,50,65,120.0,35.0,66.0,Slow,1,Field,,50.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
228,229,Houndoom,2,Normal,Dark Pokémon,2,Dark,Fire,1.4,35.0,3,Early Bird,Flash Fire,Unnerve,500,75,90,50,110,80,95,45.0,35.0,175.0,Slow,1,Field,,50.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
229,230,Kingdra,2,Normal,Dragon Pokémon,2,Water,Dragon,1.8,152.0,3,Swift Swim,Sniper,Damp,540,75,95,95,95,95,85,45.0,70.0,243.0,Medium Fast,2,Dragon,Water 1,50.0,20.0,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0
230,231,Phanpy,2,Normal,Long Nose Pokémon,1,Ground,,0.5,33.5,2,Pickup,,Sand Veil,330,90,60,60,40,40,40,120.0,70.0,66.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
231,232,Donphan,2,Normal,Armor Pokémon,1,Ground,,1.1,120.0,2,Sturdy,,Sand Veil,500,90,120,120,60,60,50,60.0,70.0,175.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
232,233,Porygon2,2,Normal,Virtual Pokémon,1,Normal,,0.6,32.5,3,Trace,Download,Analytic,515,85,80,90,105,95,60,45.0,70.0,180.0,Medium Fast,1,Mineral,,,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
233,234,Stantler,2,Normal,Big Horn Pokémon,1,Normal,,1.4,71.2,3,Intimidate,Frisk,Sap Sipper,465,73,95,62,85,65,85,45.0,70.0,163.0,Slow,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
234,235,Smeargle,2,Normal,Painter Pokémon,1,Normal,,1.2,58.0,3,Own Tempo,Technician,Moody,250,55,20,35,20,45,75,45.0,70.0,88.0,Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
235,236,Tyrogue,2,Normal,Scuffle Pokémon,1,Fighting,,0.7,21.0,3,Guts,Steadfast,Vital Spirit,210,35,35,35,35,35,35,75.0,70.0,42.0,Medium Fast,1,Undiscovered,,100.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
236,237,Hitmontop,2,Normal,Handstand Pokémon,1,Fighting,,1.4,48.0,3,Intimidate,Technician,Steadfast,455,50,95,95,35,110,70,45.0,70.0,159.0,Medium Fast,1,Human-Like,,100.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
237,238,Smoochum,2,Normal,Kiss Pokémon,2,Ice,Psychic,0.4,6.0,3,Oblivious,Forewarn,Hydration,305,45,30,15,85,65,65,45.0,70.0,61.0,Medium Fast,1,Undiscovered,,0.0,25.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0
238,239,Elekid,2,Normal,Electric Pokémon,1,Electric,,0.6,23.5,2,Static,,Vital Spirit,360,45,63,37,65,55,95,45.0,70.0,72.0,Medium Fast,1,Undiscovered,,75.0,25.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
239,240,Magby,2,Normal,Live Coal Pokémon,1,Fire,,0.7,21.4,2,Flame Body,,Vital Spirit,365,45,75,37,70,55,83,45.0,70.0,73.0,Medium Fast,1,Undiscovered,,75.0,25.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
240,241,Miltank,2,Normal,Milk Cow Pokémon,1,Normal,,1.2,75.5,3,Thick Fat,Scrappy,Sap Sipper,490,95,80,105,40,70,100,45.0,70.0,172.0,Slow,1,Field,,0.0,20.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
241,242,Blissey,2,Normal,Happiness Pokémon,1,Normal,,1.5,46.8,3,Natural Cure,Serene Grace,Healer,540,255,10,10,75,135,55,30.0,140.0,608.0,Fast,1,Fairy,,0.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
245,246,Larvitar,2,Normal,Rock Skin Pokémon,2,Rock,Ground,0.6,72.0,2,Guts,,Sand Veil,300,50,64,50,45,50,41,45.0,35.0,60.0,Slow,1,Monster,,50.0,40.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
246,247,Pupitar,2,Normal,Hard Shell Pokémon,2,Rock,Ground,1.2,152.0,1,Shed Skin,,,410,70,84,70,65,70,51,45.0,35.0,144.0,Slow,1,Monster,,50.0,40.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
247,248,Tyranitar,2,Normal,Armor Pokémon,2,Rock,Dark,2.0,202.0,2,Sand Stream,,Unnerve,600,100,134,110,95,100,61,45.0,35.0,270.0,Slow,1,Monster,,50.0,40.0,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0
251,252,Treecko,3,Normal,Wood Gecko Pokémon,1,Grass,,0.5,5.0,2,Overgrow,,Unburden,310,40,45,35,65,55,70,45.0,70.0,62.0,Medium Slow,2,Dragon,Monster,87.5,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
252,253,Grovyle,3,Normal,Wood Gecko Pokémon,1,Grass,,0.9,21.6,2,Overgrow,,Unburden,405,50,65,45,85,65,95,45.0,70.0,142.0,Medium Slow,2,Dragon,Monster,87.5,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
253,254,Sceptile,3,Normal,Forest Pokémon,1,Grass,,1.7,52.2,2,Overgrow,,Unburden,530,70,85,65,105,85,120,45.0,70.0,239.0,Medium Slow,2,Dragon,Monster,87.5,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
254,255,Torchic,3,Normal,Chick Pokémon,1,Fire,,0.4,2.5,2,Blaze,,Speed Boost,310,45,60,40,70,50,45,45.0,70.0,62.0,Medium Slow,1,Field,,87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
255,256,Combusken,3,Normal,Young Fowl Pokémon,2,Fire,Fighting,0.9,19.5,2,Blaze,,Speed Boost,405,60,85,60,85,60,55,45.0,70.0,142.0,Medium Slow,1,Field,,87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
256,257,Blaziken,3,Normal,Blaze Pokémon,2,Fire,Fighting,1.9,52.0,2,Blaze,,Speed Boost,530,80,120,70,110,70,80,45.0,70.0,239.0,Medium Slow,1,Field,,87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
257,258,Mudkip,3,Normal,Mud Fish Pokémon,1,Water,,0.4,7.6,2,Torrent,,Damp,310,50,70,50,50,50,40,45.0,70.0,62.0,Medium Slow,2,Monster,Water 1,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
258,259,Marshtomp,3,Normal,Mud Fish Pokémon,2,Water,Ground,0.7,28.0,2,Torrent,,Damp,405,70,85,70,60,70,50,45.0,70.0,142.0,Medium Slow,2,Monster,Water 1,87.5,20.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
259,260,Swampert,3,Normal,Mud Fish Pokémon,2,Water,Ground,1.5,81.9,2,Torrent,,Damp,535,100,110,90,85,90,60,45.0,70.0,241.0,Medium Slow,2,Monster,Water 1,87.5,20.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
260,261,Poochyena,3,Normal,Bite Pokémon,1,Dark,,0.5,13.6,3,Run Away,Quick Feet,Rattled,220,35,55,35,30,30,35,255.0,70.0,56.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
261,262,Mightyena,3,Normal,Bite Pokémon,1,Dark,,1.0,37.0,3,Intimidate,Quick Feet,Moxie,420,70,90,70,60,60,70,127.0,70.0,147.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
262,263,Zigzagoon,3,Normal,TinyRaccoon Pokémon,1,Normal,,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60,255.0,70.0,56.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
263,264,Linoone,3,Normal,Rushing Pokémon,1,Normal,,0.5,32.5,3,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100,90.0,70.0,147.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
264,265,Wurmple,3,Normal,Worm Pokémon,1,Bug,,0.3,3.6,2,Shield Dust,,Run Away,195,45,45,35,20,30,20,255.0,70.0,56.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
265,266,Silcoon,3,Normal,Cocoon Pokémon,1,Bug,,0.6,10.0,1,Shed Skin,,,205,50,35,55,25,25,15,120.0,70.0,72.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
266,267,Beautifly,3,Normal,Butterfly Pokémon,2,Bug,Flying,1.0,28.4,2,Swarm,,Rivalry,395,60,70,50,100,50,65,45.0,70.0,178.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
267,268,Cascoon,3,Normal,Cocoon Pokémon,1,Bug,,0.7,11.5,1,Shed Skin,,,205,50,35,55,25,25,15,120.0,70.0,72.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
268,269,Dustox,3,Normal,Poison Moth Pokémon,2,Bug,Poison,1.2,31.6,2,Shield Dust,,Compound Eyes,385,60,50,70,50,90,65,45.0,70.0,173.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
269,270,Lotad,3,Normal,Water Weed Pokémon,2,Water,Grass,0.5,2.6,3,Swift Swim,Rain Dish,Own Tempo,220,40,30,30,40,50,30,255.0,70.0,44.0,Medium Slow,2,Grass,Water 1,50.0,15.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
270,271,Lombre,3,Normal,Jolly Pokémon,2,Water,Grass,1.2,32.5,3,Swift Swim,Rain Dish,Own Tempo,340,60,50,50,60,70,50,120.0,70.0,119.0,Medium Slow,2,Grass,Water 1,50.0,15.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
271,272,Ludicolo,3,Normal,Carefree Pokémon,2,Water,Grass,1.5,55.0,3,Swift Swim,Rain Dish,Own Tempo,480,80,70,70,90,100,70,45.0,70.0,216.0,Medium Slow,2,Grass,Water 1,50.0,15.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
272,273,Seedot,3,Normal,Acorn Pokémon,1,Grass,,0.5,4.0,3,Chlorophyll,Early Bird,Pickpocket,220,40,40,50,30,30,30,255.0,70.0,44.0,Medium Slow,2,Field,Grass,50.0,15.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
273,274,Nuzleaf,3,Normal,Wily Pokémon,2,Grass,Dark,1.0,28.0,3,Chlorophyll,Early Bird,Pickpocket,340,70,70,40,60,40,60,120.0,70.0,119.0,Medium Slow,2,Field,Grass,50.0,15.0,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,0.0,4.0,1.0,0.5,1.0,0.5,1.0,2.0
274,275,Shiftry,3,Normal,Wicked Pokémon,2,Grass,Dark,1.3,59.6,3,Chlorophyll,Early Bird,Pickpocket,480,90,100,60,90,60,80,45.0,70.0,216.0,Medium Slow,2,Field,Grass,50.0,15.0,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,0.0,4.0,1.0,0.5,1.0,0.5,1.0,2.0
275,276,Taillow,3,Normal,TinySwallow Pokémon,2,Normal,Flying,0.3,2.3,2,Guts,,Scrappy,270,40,55,30,30,30,85,200.0,70.0,54.0,Medium Slow,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
276,277,Swellow,3,Normal,Swallow Pokémon,2,Normal,Flying,0.7,19.8,2,Guts,,Scrappy,455,60,85,60,75,50,125,45.0,70.0,159.0,Medium Slow,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
277,278,Wingull,3,Normal,Seagull Pokémon,2,Water,Flying,0.6,9.5,3,Keen Eye,Hydration,Rain Dish,270,40,30,30,55,30,85,190.0,70.0,54.0,Medium Fast,2,Flying,Water 1,50.0,20.0,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
278,279,Pelipper,3,Normal,Water Bird Pokémon,2,Water,Flying,1.2,28.0,3,Keen Eye,Drizzle,Rain Dish,440,60,50,100,95,70,65,45.0,70.0,154.0,Medium Fast,2,Flying,Water 1,50.0,20.0,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
279,280,Ralts,3,Normal,Feeling Pokémon,2,Psychic,Fairy,0.4,6.6,3,Synchronize,Trace,Telepathy,198,28,25,25,45,35,40,235.0,35.0,40.0,Slow,2,Amorphous,Human-Like,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
280,281,Kirlia,3,Normal,Emotion Pokémon,2,Psychic,Fairy,0.8,20.2,3,Synchronize,Trace,Telepathy,278,38,35,35,65,55,50,120.0,35.0,97.0,Slow,2,Amorphous,Human-Like,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
281,282,Gardevoir,3,Normal,Embrace Pokémon,2,Psychic,Fairy,1.6,48.4,3,Synchronize,Trace,Telepathy,518,68,65,65,125,115,80,45.0,35.0,233.0,Slow,2,Amorphous,Human-Like,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
282,283,Surskit,3,Normal,Pond Skater Pokémon,2,Bug,Water,0.5,1.7,2,Swift Swim,,Rain Dish,269,40,30,32,50,52,65,200.0,70.0,54.0,Medium Fast,2,Bug,Water 1,50.0,15.0,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0
283,284,Masquerain,3,Normal,Eyeball Pokémon,2,Bug,Flying,0.8,3.6,2,Intimidate,,Unnerve,454,70,60,62,100,82,80,75.0,70.0,159.0,Medium Fast,2,Bug,Water 1,50.0,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
284,285,Shroomish,3,Normal,Mushroom Pokémon,1,Grass,,0.4,4.5,3,Effect Spore,Poison Heal,Quick Feet,295,60,40,60,40,60,35,255.0,70.0,59.0,Fluctuating,2,Fairy,Grass,50.0,15.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
